DESIGN	!! TODO All code below here is duplicated in FigBaseNode The reason is the GEF defect httpgeftigrisorgissuesshowbugcgi?id=358 Once we have taken a release of GEF with that fix we can remove this code 
DESIGN	?? Best guess read object? ?? This is probably the wrong thing to do here but ?? I dont know what else to try
DESIGN	?? Extract this out into a class like CascadeInternalFramePositioner
DESIGN	?? Is there any way to check for invalid input? Valid input includes ?? at least any printable character but could it also include unprintable ?? characters?
DESIGN	?? Is there any way to check for invalid input? Valid input includes ?? at least any printable character but could it also include unprintable ?? characters?
DESIGN	?? Need to associate a panel with an object type somehow
DESIGN	?? Split these 4 functions off into a subclass of BaseFavouriteAction
DESIGN	?? Split these 4 functions off into a subclass of BaseFavouriteAction
DESIGN	?? Split these 4 functions off into a subclass of BaseFavouriteAction
DESIGN	?? Split these 4 functions off into a subclass of BaseFavouriteAction
DESIGN	??? bad to have release hardocoded here Fix laterright
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renderer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renderer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
